startYear,movies_released,avg_market_rating,total_market_votes
1990.0,2600,5.947269230769231,11486624
1991.0,2502,6.0299760191846525,10287276
1992.0,2436,6.039614121510673,11305849
1993.0,2357,6.043445057276198,13859384
1994.0,2410,6.00759336099585,20932360
1995.0,2497,6.004765718862635,19607570
1996.0,2524,6.125713153724247,14378614
1997.0,2738,6.114170927684441,21152221
1998.0,2822,6.036109142452162,21061342
1999.0,3020,6.026456953642384,27281239
2000.0,3200,6.03646875,24482794
2001.0,3417,6.117003219198127,28886860
2002.0,3580,6.20768156424581,29182610
2003.0,3793,6.171790139731083,29955483
2004.0,4238,6.234403020292591,35545147
2005.0,4695,6.254845580404686,31487618
2006.0,5242,6.192617321632965,36235649
2007.0,5492,6.248379461034231,38170077
2008.0,6270,6.227145135566188,40101712
2009.0,7019,6.249337512466163,39303215
2010.0,7306,6.240514645496852,41121129
2011.0,7910,6.273969658659924,43241852
2012.0,8368,6.277437858508604,43489679
2013.0,8764,6.24092879963487,48397967
2014.0,9408,6.2720025510204085,49409834
2015.0,9661,6.229800227719697,38738438
2016.0,10104,6.2442695961995245,42642703
2017.0,10639,6.226609643763511,39467687
2018.0,10838,6.15493633511718,36684878
2019.0,10942,6.1548254432462075,39319948
2020.0,8939,6.125819442890704,19665112
2021.0,9669,6.182304271382769,28776809
2022.0,11365,6.2571667399912005,31592850
2023.0,11500,6.268147826086956,28172442
2024.0,11205,6.281195894689871,22913687
2025.0,9205,6.424323737099403,18471941
2026.0,1687,6.674096028452875,1989691
